one	一	grade1	3		"<img src=""04e00.svg"">"
two	二	grade1	271	一[one]	"<img src=""04e8c.svg"">"
three	三	grade1	278	二[two] 一[one]	"<img src=""04e09.svg"">"
four	四	grade1	614	囗[box radical (no. 31)] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""056db.svg"">"
five	五	grade1	699	二[two] 一[one]	"<img src=""04e94.svg"">"
six	六	grade1	961	亠[kettle lid radical (no. 8)] 八[eight]	"<img src=""0516d.svg"">"
seven	七	grade1	947	一[one] 乙[fishguts]	"<img src=""04e03.svg"">"
eight	八	grade1	728		"<img src=""0516b.svg"">"
nine	九	grade1	852	丿[katakana no radical (no. 4)] 乙[fishguts]	"<img src=""04e5d.svg"">"
ten	十	grade1	389		"<img src=""05341.svg"">"
year	年	grade1	33	丿[katakana no radical (no. 4)] 干[dry] 十[ten]	"<img src=""05e74.svg"">"
thousand	千	grade1	611	丿[katakana no radical (no. 4)] 十[ten]	"<img src=""05343.svg"">"
above	上	grade1	20	卜[augury] 一[one]	"<img src=""04e0a.svg"">"
below	下	grade1	48	一[one] 卜[augury]	"<img src=""04e0b.svg"">"
person	人	grade1	2		"<img src=""04eba.svg"">"
large	大	grade1	7	人[person]	"<img src=""05927.svg"">"
heavens	天	grade1	155	一[one] 大[large] 人[person]	"<img src=""05929.svg"">"
dog	犬	grade1	701	大[large] 人[person] 丶[dot radical (no. 3)]	"<img src=""072ac.svg"">"
fire	火	grade1	584	人[person]	"<img src=""0706b.svg"">"
enter	入	grade1	10		"<img src=""05165.svg"">"
power	力	grade1	81		"<img src=""0529b.svg"">"
little	小	grade1	133		"<img src=""05c0f.svg"">"
thread	糸	grade1	1335	幺[short thread radical (no. 52)] 小[little]	"<img src=""07cf8.svg"">"
mountain	山	grade1	167		"<img src=""05c71.svg"">"
exit	出	grade1	11	山[mountain] 丨[rod radical (no. 2)] 凵[open box radical (no. 17)]	"<img src=""051fa.svg"">"
woman	女	grade1	173		"<img src=""05973.svg"">"
stream	川	grade1	270		"<img src=""05ddd.svg"">"
mouth	口	grade1	287		"<img src=""053e3.svg"">"
stone	石	grade1	456	口[mouth]	"<img src=""077f3.svg"">"
right	右	grade1	685	口[mouth]	"<img src=""053f3.svg"">"
in	中	grade1	14	口[mouth] 丨[rod radical (no. 2)]	"<img src=""04e2d.svg"">"
insect	虫	grade1	1004	中[in] 口[mouth] 丨[rod radical (no. 2)]	"<img src=""0866b.svg"">"
leg	足	grade1	321	口[mouth] 龰[foot (radical)]	"<img src=""08db3.svg"">"
soil	土	grade1	397		"<img src=""0571f.svg"">"
red	赤	grade1	524	亦[also] 土[soil]	"<img src=""08d64.svg"">"
evening	夕	grade1	756		"<img src=""05915.svg"">"
name	名	grade1	85	夕[evening] 口[mouth]	"<img src=""0540d.svg"">"
left	左	grade1	687	工[craft]	"<img src=""05de6.svg"">"
empty	空	grade1	258	穴[hole] 宀[katakana u radical (no. 40)] 冖[wa-shaped crown radical (no. 14)] 八[eight] 工[craft]	"<img src=""07a7a.svg"">"
day	日	grade1	1		"<img src=""065e5.svg"">"
white	白	grade1	297	日[day]	"<img src=""0767d.svg"">"
hundred	百	grade1	813	一[one] 白[white] 日[day]	"<img src=""0767e.svg"">"
car	車	grade1	148	日[day]	"<img src=""08eca.svg"">"
early	早	grade1	343	日[day] 十[ten]	"<img src=""065e9.svg"">"
grass	草	grade1	778	艹[grass radical (no. 140)] 早[early] 日[day] 十[ten]	"<img src=""08349.svg"">"
hand	手	grade1	40		"<img src=""0624b.svg"">"
month	月	grade1	91		"<img src=""06708.svg"">"
blue	青	grade1	588	龶[blue prefix] 月[month]	"<img src=""09752.svg"">"
water	水	grade1	178		"<img src=""06c34.svg"">"
tree	木	grade1	337		"<img src=""06728.svg"">"
grove	林	grade1	818	木[tree]	"<img src=""06797.svg"">"
forest	森	grade1	683	木[tree] 林[grove]	"<img src=""068ee.svg"">"
book	本	grade1	9	木[tree] 丨[rod radical (no. 2)]	"<img src=""0672c.svg"">"
rest	休	grade1	361	亻[radical number 9] 木[tree]	"<img src=""04f11.svg"">"
town	村	grade1	344	木[tree] 寸[measurement]	"<img src=""06751.svg"">"
king	王	grade1	612		"<img src=""0738b.svg"">"
jewel	玉	grade1	712	王[king] 丶[dot radical (no. 3)]	"<img src=""07389.svg"">"
gold	金	grade1	94	全[whole] 𠆢[top "person" radical] 王[king]	"<img src=""091d1.svg"">"
exam	校	grade1	295	木[tree] 交[mingle] 亠[kettle lid radical (no. 8)] 父[father]	"<img src=""06821.svg"">"
