一	
二	一
三	二一
毒	龶三二一毋
僅	亻艹三二一
邦	丰三二一丿⻏
拝	扌一丰三二丨
浅	氵戋三二一戈弋丿丶
四	囗儿丿㇟
五	二一
六	亠八
七	一乙
虐	虍七一
虚	虍七一业
戯	虚虍七一业戈弋丿丶
宅	宀冖乇丿七一
虎	虍七一儿丿㇟
劇	豦虍丿七一豕刂
八	
公	八厶
尺	尸八
尽	尺尸八冫
択	扌尺尸八
沢	氵尺尸八
共	龷八
供	亻共龷八
洪	氵共龷八
恭	共龷八⺗
穴	宀冖八
搾	扌窄穴宀冖八乍丿
並	八一业
兼	八⺕丨
廉	广厂兼八⺕丨
匹	匸儿丿㇟八
既	艮旡儿丿㇟八
慨	忄既艮旡儿丿㇟八
充	亠允厶儿丿㇟八
寒	宀冖三二一八冫
九	丿乙
十	
干	十
午	丿干十
平	干一十
刊	干十刂
年	丿干十
汗	氵干十
刑	开干十刂
形	开干十彡
併	亻并干十
南	䒑十冂干
餅	⻞𠆢并干十
千	丿十
甘	廿十
甚	甘廿十丨匹匚儿丿㇟八
汁	氵十
升	丿廾十
飛	升十廾丿
阜	𠂤丿十
半	丶二一十
判	半二一十刂
伴	亻半二一十
世	廿十一丨
弁	厶廾十丿
展	尸廾十丿
井	二一廾十丿
丼	井二一廾十丿丶
囲	囗井二一廾十丿
冊	冂丨廾丿十
庶	广厂廿十灬
遮	庶广厂廿十灬⻌
準	氵隼隹亻十
戒	戈弋廾十丿丶
仁	亻二一
互	二一彑
汚	氵二一
那	二一⻏
弐	一弋二丶
元	二一儿丿㇟
完	宀冖元二一儿丿㇟
院	⻖完宀冖元二一儿丿㇟
会	𠆢云二一厶
伝	亻云二一厶
芋	艹于二一亅
芸	艹云二一厶
宇	宀冖于二一亅
発	癶二一儿丿㇟
廃	广厂発癶二一儿丿㇟
万	一
与	一
写	冖与一
丁	一亅
打	扌丁一亅
庁	广厂丁一亅
上	卜一
下	一卜
今	𠆢一
陰	⻖今𠆢一云二厶
丈	一乂丿
不	一丿丨
令	𠆢一マ
冷	冫令𠆢一マ
無	丿一灬
西	一囗儿丿㇟
酒	氵酉西一囗儿丿㇟
酢	酉西一囗儿丿㇟乍
酌	酉西一囗儿丿㇟勺勹丶
猶	⺨酋八酉西一囗儿丿㇟
酸	酉西一囗儿丿㇟夋允厶夂
醸	酉西一囗儿丿㇟㐮六亠八三二𧘇
光	⺌兀一儿丿㇟
蔑	艹罒戍戌厂戈弋一丿丶
乙	
乞	𠂉乙
礼	礻乙
他	亻也乙
尻	尸九乙
池	氵也乙
丸	九丿乙丶
屯	丿屮凵乙
迅	卂乙十⻌
究	穴宀冖八九乙
酔	酉西一囗儿丿㇟卆九乙十
人	
大	人
天	一大人
矢	天大人
医	匸矢天大人
侯	亻矢天大人
疾	疒矢天大人
候	亻丨矢天大人
挨	扌矣厶矢天大人
疑	匕矢天大人マ疋卜
凝	冫疑匕矢天大人マ疋卜
擬	扌疑匕矢天大人マ疋卜
送	天大人⻌
奏	𡗗三二一人天大
犬	大人丶
伏	亻犬大人丶
状	⺦犬大人丶
献	南䒑十冂干犬大人丶
太	大人丶
汰	氵太大人丶
夫	大人丿
失	丿夫大人
迭	失丿夫大人⻌
扶	扌夫大人
渓	氵奚⺤夫大人
央	丨大人
英	艹央大人
因	囗大人
決	氵夬大人
快	忄夬大人
参	厶大人彡
惨	忄参厶大人彡
美	⺷䒑大人
爽	大人爻乂
沃	氵夭丿大人
突	穴宀冖八大人
奔	大人卉十廾丿
狭	⺨夹二一大人从
挟	扌夹二一大人从
泰	𡗗三二一大人氺
添	氵忝夭丿大人⺗
奉	𡗗三二一大人丿丨
俸	亻奉𡗗三二一大人丨
換	扌奐𠂊冂儿丿㇟大人
火	人
炎	火人
淡	氵炎火人
灰	厂火人
災	巛火人
灯	火人丁一亅
滅	氵戌厂戈弋一火人丿丶
焼	火人尭卉十廾丿兀一儿㇟
欠	人
次	冫欠人
茨	艹次冫欠人
炊	火人欠
飲	飠欠人
歓	𠂉隹亻欠人
欺	其甘廿十八欠人
以	丶人
似	亻以丶人
囚	囗人
肉	冂人
内	冂丨人
丙	一内冂人
病	疒丙一内冂人
傘	人从十
卒	亠从人十
刻	亥亠人刂
定	宀冖疋龰卜人
従	彳亻疋龰卜人
実	宀冖𡗗三二一人
僕	亻菐业三二一人
撲	扌菐业三二一人
倫	亻侖人一冊冂廾十丿
幾	幺戍戈弋厂人一丿丶
入	
込	入⻌
力	
幼	幺力
労	⺍冖力
協	十劦力
劾	亥亠人力
勧	𠂉隹亻力
励	厂丿万一力
勤	菫艹三二一力
勘	甚甘廿十匹匚儿丿㇟八力
刀	
分	八刀
辺	刀⻌
初	衤刀
刃	刀丿丶
切	七一刀
窃	穴宀冖八切七一刀
契	龶刀大人
券	𠔉二一大人刀
又	
友	又
抜	扌友又
援	扌爰⺤友又
双	又
皮	又
波	氵皮又
披	扌皮又
疲	疒皮又
被	衤皮又
彼	彳亻皮又
及	丿又
扱	扌及丿又
反	厂又
仮	亻反厂又
